track_id,title,artist,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mbti
2jm0S3dMxpAz5H59z4lOJH,Thoughts,Sasha Alex Sloan,https://i.scdn.co/image/ab67616d0000b273e311caeb92d5e33849669db0,0.685,0.464,7,20.069000000000003,1,0.0579,0.138,3.97e-05,0.111,0.0559,90.011,infj
6PpaRVUCmGA6bT8VSQX9fx,When It's All Done,Jasmine Ortiz,https://i.scdn.co/image/ab67616d0000b2735a32ef43fdf5af783211e6c9,0.826,0.488,11,24.285,0,0.0757,0.385,0.0,0.106,0.435,85.009,infj
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,0.828,0.492,0,20.256,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,infj
456WNXWhDwYOSf5SpTuqxd,Dog Days Are Over,Florence + The Machine,https://i.scdn.co/image/ab67616d0000b273003f81b1f4246362638e682d,0.501,0.809,7,24.736,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,infj
4CCe846xVRd9p31gc6dMza,Postcard (feat. Gordi),Troye Sivan,https://i.scdn.co/image/ab67616d0000b273aae542061ac42ee04779fb2f,0.43,0.36,0,21.091,1,0.036,0.905,0.0,0.0967,0.247,97.852,infj
2e3tbGEZwn3lpQfGydppwZ,Breaking the Silence,The Marica Frequency,https://i.scdn.co/image/ab67616d0000b2733b0577919e4b39ed9d70215c,0.373,0.291,0,16.938000000000002,1,0.0297,0.799,0.149,0.113,0.215,151.816,infj
2JqfUrVod7LVLCb7lZcaZW,Don't Be Sad,Arlo Indigo,https://i.scdn.co/image/ab67616d0000b273f74fd067a9ed2feed2ed2f35,0.594,0.691,7,22.545,1,0.0293,0.000149,0.0,0.0896,0.792,145.928,infj
05mqbVy5iVBDQWi9jQ3W7f,You,The Airharts,https://i.scdn.co/image/ab67616d0000b273eab0727c3f36647974ddbcfc,0.58,0.705,2,21.044,1,0.0293,0.0973,0.351,0.574,0.662,104.981,infj
2Fx5avzztAd0bmk5ivB09c,Summer Solstice,Graymarker,https://i.scdn.co/image/ab67616d0000b27340f18bc9cb5bf4d899f18e0f,0.577,0.247,1,13.875,1,0.0518,0.838,0.0,0.103,0.343,129.869,infj
6Up545NUflOiXo8cEraH49,You Say,Lauren Daigle,https://i.scdn.co/image/ab67616d0000b273f450251e05b9ab74d11d9e53,0.494,0.632,5,23.11,1,0.0342,0.682,0.0,0.0869,0.0797,147.873,enfj
67WTwafOMgegV6ABnBQxcE,Some Nights,fun.,https://i.scdn.co/image/ab67616d0000b273a036e1724bc7f2bab15cfda8,0.672,0.738,0,22.955,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,enfj
