_id,artist,image_url,release_date,id,name,popularity,mbti
61b1eebb2dde1bd4a71304ac,Mother Mother,https://i.scdn.co/image/ab67616d0000b2734f2dc51d1c8453753af90ad0,2007-05-08,1MOyN6opDPpLi3nTfgEcjS,Dirty Town,52,estp
61b1eebb2dde1bd4a71304ad,The Orion Experience,https://i.scdn.co/image/ab67616d0000b273df30bfe435e2f385a93a29d5,2006-01-01,08KTQSs3ickNki7FFTb6fY,The Cult of Dionysus,72,estp
61b1eebb2dde1bd4a71304ae,Destroy Boys,https://i.scdn.co/image/ab67616d0000b273c0c277ce1a3cabb6371f5eca,2018-10-19,43FtpuAePqILFhq4yrWeQu,Vixen,58,estp
61b1eebb2dde1bd4a71304af,Lemon Demon,https://i.scdn.co/image/ab67616d0000b27361b3be79f762377a297b9e8c,2014-11-02,6ibbHAoBrdqJxo345QGumd,A Mask of My Own Face,60,estp
61b1eebb2dde1bd4a71304b0,Mindless Self Indulgence,https://i.scdn.co/image/ab67616d0000b2739fca40bcb8073b89d626aef0,2005,3oZUlZMXkj51AyYG8lGaE7,Shut Me Up,62,estp
61b1eebb2dde1bd4a71304b1,Jazmin Bean,https://i.scdn.co/image/ab67616d0000b273eea4d8ef4ad2b9b0a7f00d37,2020-11-11,0xLCawHAfE3tqlPWRvhT49,Saccharine,61,estp
61b1eebb2dde1bd4a71304b2,I DONT KNOW HOW BUT THEY FOUND ME,https://i.scdn.co/image/ab67616d0000b273e9774ee3932efbc4c3d68e6b,2018-08-24,37mfTcSlX60JtAvAETytGs,Choke,75,estp
61b1eebb2dde1bd4a71304b3,Jazmin Bean,https://i.scdn.co/image/ab67616d0000b273eea4d8ef4ad2b9b0a7f00d37,2020-11-11,0lUSIaEhUApWIbru6IX21z,Worldwide Torture,54,estp
61b1eebb2dde1bd4a71304b4,I DONT KNOW HOW BUT THEY FOUND ME,https://i.scdn.co/image/ab67616d0000b273d6dfb454b77efaccc1371d14,2018-11-09,4hs2FbesB8qo6H5Berbikd,Absinthe,63,estp
61b1eebb2dde1bd4a71304b5,Mother Mother,https://i.scdn.co/image/ab67616d0000b2730593d798ca1c1e45eedb1df6,2011-03-15,6HSbHJSeDXW0nej0oSXSE1,The Stand,54,estp
61b1eebb2dde1bd4a71304b6,Miracle Musical,https://i.scdn.co/image/ab67616d0000b2738fcbcb3e5252e5f98f515978,2012,2aDk1KkyB7ieSwwEDXCHJg,The Mind Electric,58,estp
61b1eebb2dde1bd4a71304b7,My Chemical Romance,https://i.scdn.co/image/ab67616d0000b27317f77fab7e8f18d5f9fee4a1,2006-10-23,7j31rVgGX9Q2blT92VBEA0,Teenagers,85,estp
