_id,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,type,valence
61b1eeb52dde1bd4a713029a,0.316,0.824,0.296,3DYZKxjG8SZrWpVcoUilqQ,0.0115,10,0.0742,-13.56,1,0.138,75.008,audio_features,0.287
61b1eeb52dde1bd4a713029b,0.332,0.669,0.395,7FjIYiD53wxlQmzTT6Wdpf,0.000196,9,0.37,-9.598,1,0.03,125.979,audio_features,0.196
61b1eeb52dde1bd4a713029c,0.43,0.697,0.401,6SZwj6cjc8JQbkrr8cbIUn,0.0109,7,0.316,-10.216,1,0.0543,108.996,audio_features,0.478
61b1eeb52dde1bd4a713029d,0.774,0.747,0.506,4Kpt4pk9xgOlIgu9qvUrxC,0.0245,6,0.162,-5.009,1,0.146,79.913,audio_features,0.6
61b1eeb52dde1bd4a713029e,0.0341,0.348,0.875,2zzLRQ78kKfPTx8FJQCdC2,0,11,0.117,-4.758,0,0.199,169.152,audio_features,0.407
61b1eeb52dde1bd4a713029f,0.41,0.518,0.496,190IqlryWu91WBKeDgZqZz,0.1,10,0.0999,-11.607,1,0.0292,143.921,audio_features,0.281
61b1eeb52dde1bd4a71302a0,0.239,0.664,0.382,5q4BpnMrYEFzLO0dYODj6J,0.00749,0,0.0943,-9.977,1,0.047,123.214,audio_features,0.126
61b1eeb52dde1bd4a71302a1,0.12,0.579,0.77,6lhuBaygBqxBjdcXrM685k,0.0553,4,0.172,-9.163,0,0.0586,125.011,audio_features,0.275
61b1eeb52dde1bd4a71302a2,0.000369,0.489,0.892,1MHYAqWWdDRePmnqORynrq,0.00293,11,0.411,-4.757,0,0.0786,137.93,audio_features,0.598
61b1eeb52dde1bd4a71302a3,0.0781,0.366,0.439,3sa1wUB8FAkoH95MGPGBWI,0.0000192,4,0.108,-5.238,1,0.0298,115.94,audio_features,0.11
61b1eeb52dde1bd4a71302a4,0.0483,0.691,0.631,086myS9r57YsLbJpU0TgK9,0.0000113,2,0.104,-6.478,1,0.0368,92.004,audio_features,0.8
61b1eeb52dde1bd4a71302a5,0.194,0.527,0.591,63Lg0ZiNxedzbub29hv6VT,0.0194,6,0.0907,-7.664,0,0.0396,123.167,audio_features,0.461
61b1eeb52dde1bd4a71302a6,0.244,0.536,0.486,0VD1GQqBRp3oAx1Sv1lNKd,0.00788,11,0.12,-11.067,0,0.0346,131.988,audio_features,0.0968
61b1eeb52dde1bd4a71302a7,0.00491,0.474,0.921,5s2zbxZI4Ym5LTKwjZHS2V,0.859,9,0.476,-10.431,0,0.0457,93.007,audio_features,0.696
61b1eeb52dde1bd4a71302a8,0.63,0.664,0.576,0IOFbRuU9O7BsRMVBT6Rbo,0.000198,5,0.0902,-6.429,1,0.0286,76.026,audio_features,0.621
61b1eeb52dde1bd4a71302a9,0.000965,0.524,0.831,21xou84xCn9aF4z2N5GzTK,0,6,0.0904,-5.25,1,0.0287,93.003,audio_features,0.458
61b1eeb52dde1bd4a71302aa,0.00262,0.535,0.448,6gpSU2C1VJq0xaVIGtQPVi,0.0000194,2,0.115,-9.167,1,0.0279,101.984,audio_features,0.32
61b1eeb52dde1bd4a71302ab,0.0604,0.607,0.451,0U3u0HdRQjD8mAMYBak4Ok,0,4,0.19,-8.206,1,0.0286,94.054,audio_features,0.676
61b1eeb52dde1bd4a71302ac,0.00387,0.608,0.528,67EUBsc4qosGOVbaYy6TeX,0.000014,1,0.106,-11.722,1,0.0338,89.221,audio_features,0.454
61b1eeb52dde1bd4a71302ad,0.386,0.278,0.662,3sgf2a905hjZ81tXYytY6i,0.0000114,9,0.134,-6.075,1,0.0295,181.683,audio_features,0.274
61b1eeb52dde1bd4a71302ae,0.0478,0.497,0.639,5ErtQGRKEibK2WHaA729O8,0,1,0.39,-5.31,1,0.0273,171.95,audio_features,0.766
61b1eeb52dde1bd4a71302af,0.483,0.63,0.418,6F5mZpEEjhsAW8UEqbIpz1,0.15,7,0.111,-7.111,0,0.0254,140.037,audio_features,0.345
61b1eeb52dde1bd4a71302b0,0.764,0.777,0.635,44uCMdE6RWnkOFYTtbmUUc,0.00000225,5,0.155,-6.323,0,0.0392,138.04,audio_features,0.653
61b1eeb52dde1bd4a71302b1,0.852,0.665,0.373,57ifn7s0IPnqCgXXHXQCHL,0.118,7,0.108,-10.631,1,0.158,119.905,audio_features,0.07
61b1eeb52dde1bd4a71302b2,0.908,0.541,0.208,0JuSzMSHwpTlbfKlF4uQi6,0,1,0.163,-17.989,0,0.368,94.927,audio_features,0.65
61b1eeb52dde1bd4a71302b3,0.00322,0.515,0.804,0ZK8TGOsngrstVPsnrHbK1,0.00229,6,0.149,-5.345,0,0.0398,123.969,audio_features,0.298
61b1eeb52dde1bd4a71302b4,0.0289,0.71,0.847,43O3Iu8mDJy10i6k8SVRXX,0.00033,0,0.0613,-3.009,1,0.0892,119.944,audio_features,0.65
61b1eeb52dde1bd4a71302b5,0.0329,0.303,0.494,3mUuD7ec0lWqwSZnTiQ58J,0.0000811,0,0.144,-6.498,1,0.037,128.658,audio_features,0.148
61b1eeb52dde1bd4a71302b6,0.598,0.744,0.619,7B3z0ySL9Rr0XvZEAjWZzM,0.00372,0,0.231,-9.805,1,0.039,112.997,audio_features,0.641
61b1eeb52dde1bd4a71302b7,0.438,0.625,0.285,5Ss6DqCldgTmIo6BekVOJT,0.00279,1,0.192,-16.686,0,0.0537,140.02,audio_features,0.357
61b1eeb52dde1bd4a71302b8,0.653,0.608,0.305,02tvc9CFnTyHuSRlGeNv9w,0,4,0.103,-14.037,1,0.053,113.818,audio_features,0.222
61b1eeb52dde1bd4a71302b9,0.0217,0.54,0.381,3h3pOvw6hjOvZxRUseB7h9,0.000687,7,0.305,-14.323,1,0.0347,155.882,audio_features,0.343
61b1eeb52dde1bd4a71302ba,0.336,0.39,0.502,3Am0IbOxmvlSXro7N5iSfZ,0.000138,10,0.0713,-12.277,1,0.178,97.871,audio_features,0.289
61b1eeb52dde1bd4a71302bb,0.049,0.75,0.585,5mIOsPuQdXchVY0jB5NO9Q,0.00552,9,0.155,-7.576,0,0.0285,102.331,audio_features,0.584
