_id,album.artists,album.images,album.release_date,id,name,popularity,type
61b1eeb92dde1bd4a7130488,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/1dWEYMPtNmvSVaDNLgB6NV""},""href"":""https://api.spotify.com/v1/artists/1dWEYMPtNmvSVaDNLgB6NV"",""id"":""1dWEYMPtNmvSVaDNLgB6NV"",""name"":""Saint Motel"",""type"":""artist"",""uri"":""spotify:artist:1dWEYMPtNmvSVaDNLgB6NV""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b27325dd1a3969c0912291b6fc7b"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e0225dd1a3969c0912291b6fc7b"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d0000485125dd1a3969c0912291b6fc7b"",""width"":64}]",2016-10-21,6kcHg7XL6SKyPNd78daRBL,Sweet Talk,68,esfp
61b1eeb92dde1bd4a7130489,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6CwfuxIqcltXDGjfZsMd9A""},""href"":""https://api.spotify.com/v1/artists/6CwfuxIqcltXDGjfZsMd9A"",""id"":""6CwfuxIqcltXDGjfZsMd9A"",""name"":""MARINA"",""type"":""artist"",""uri"":""spotify:artist:6CwfuxIqcltXDGjfZsMd9A""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273203e4c6a048df02a21cdd813"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02203e4c6a048df02a21cdd813"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851203e4c6a048df02a21cdd813"",""width"":64}]",2012-04-30,2sEk5R8ErGIFxbZ7rX6S2S,How to Be a Heartbreaker,73,esfp
61b1eeb92dde1bd4a713048a,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6USv9qhCn6zfxlBQIYJ9qs""},""href"":""https://api.spotify.com/v1/artists/6USv9qhCn6zfxlBQIYJ9qs"",""id"":""6USv9qhCn6zfxlBQIYJ9qs"",""name"":""Dominic Fike"",""type"":""artist"",""uri"":""spotify:artist:6USv9qhCn6zfxlBQIYJ9qs""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2734a42166d927b3acce345c5c0"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e024a42166d927b3acce345c5c0"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048514a42166d927b3acce345c5c0"",""width"":64}]",2018-10-16,1tNJrcVe6gwLEiZCtprs1u,3 Nights,77,esfp
61b1eeb92dde1bd4a713048b,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs""},""href"":""https://api.spotify.com/v1/artists/4Gso3d4CscCijv0lmajZWs"",""id"":""4Gso3d4CscCijv0lmajZWs"",""name"":""Don Toliver"",""type"":""artist"",""uri"":""spotify:artist:4Gso3d4CscCijv0lmajZWs""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e0245190a074bef3e8ce868b60c"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d0000485145190a074bef3e8ce868b60c"",""width"":64}]",2020-03-13,527k23H0A4Q0UJN3vGs0Da,After Party,82,esfp
61b1eeb92dde1bd4a713048c,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0ZxZlO7oWCSYMXhehpyMvE""},""href"":""https://api.spotify.com/v1/artists/0ZxZlO7oWCSYMXhehpyMvE"",""id"":""0ZxZlO7oWCSYMXhehpyMvE"",""name"":""COIN"",""type"":""artist"",""uri"":""spotify:artist:0ZxZlO7oWCSYMXhehpyMvE""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273e086dd341bb0c30d235f9cac"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02e086dd341bb0c30d235f9cac"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851e086dd341bb0c30d235f9cac"",""width"":64}]",2017-04-21,4djIFfof5TpbSGRZUpsTXq,Talk Too Much,74,esfp
61b1eeb92dde1bd4a713048d,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH""},""href"":""https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH"",""id"":""7Ln80lUS6He07XvHI8qqHH"",""name"":""Arctic Monkeys"",""type"":""artist"",""uri"":""spotify:artist:7Ln80lUS6He07XvHI8qqHH""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163"",""width"":64}]",2013-09-09,7nzsY8vlnKdvGOEE0rjAXZ,Arabella,76,esfp
61b1eeb92dde1bd4a713048e,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6CwfuxIqcltXDGjfZsMd9A""},""href"":""https://api.spotify.com/v1/artists/6CwfuxIqcltXDGjfZsMd9A"",""id"":""6CwfuxIqcltXDGjfZsMd9A"",""name"":""MARINA"",""type"":""artist"",""uri"":""spotify:artist:6CwfuxIqcltXDGjfZsMd9A""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273203e4c6a048df02a21cdd813"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02203e4c6a048df02a21cdd813"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851203e4c6a048df02a21cdd813"",""width"":64}]",2012-04-30,6IbnUaczZBT34DhaD6S18F,Bubblegum Bitch,80,esfp
61b1eeb92dde1bd4a713048f,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/3rWZHrfrsPBxVy692yAIxF""},""href"":""https://api.spotify.com/v1/artists/3rWZHrfrsPBxVy692yAIxF"",""id"":""3rWZHrfrsPBxVy692yAIxF"",""name"":""WILLOW"",""type"":""artist"",""uri"":""spotify:artist:3rWZHrfrsPBxVy692yAIxF""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2736ee651e65c3766d80e7fcab7"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e026ee651e65c3766d80e7fcab7"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048516ee651e65c3766d80e7fcab7"",""width"":64}]",2015-01-11,0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,84,esfp
61b1eeb92dde1bd4a7130490,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0NB5HROxc8dDBXpkIi1v3d""},""href"":""https://api.spotify.com/v1/artists/0NB5HROxc8dDBXpkIi1v3d"",""id"":""0NB5HROxc8dDBXpkIi1v3d"",""name"":""Remi Wolf"",""type"":""artist"",""uri"":""spotify:artist:0NB5HROxc8dDBXpkIi1v3d""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2730e68fefa1408603f54a4d664"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e020e68fefa1408603f54a4d664"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048510e68fefa1408603f54a4d664"",""width"":64}]",2020-06-24,1xNknVNOolLB4oQeEtNBX2,Hello Hello Hello,60,esfp
61b1eeb92dde1bd4a7130491,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL""},""href"":""https://api.spotify.com/v1/artists/0NIPkIjTV8mB795yEIiPYL"",""id"":""0NIPkIjTV8mB795yEIiPYL"",""name"":""Wallows"",""type"":""artist"",""uri"":""spotify:artist:0NIPkIjTV8mB795yEIiPYL""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273789e81b6ddbcbeda579d6066"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02789e81b6ddbcbeda579d6066"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851789e81b6ddbcbeda579d6066"",""width"":64}]",2018-04-06,4gZDCOFuLCxCRWNhSEcOtJ,These Days,69,esfp
